review_id,product_id,user_id,rating,comment,created_at
32,32,32,4,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,10/25/2022
33,33,33,5,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,3/14/2022
34,34,34,4,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,9/4/2022
35,35,35,3,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,3/7/2022
36,36,36,3,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris,10/23/2022
37,37,37,5,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,12/23/2022
38,38,38,4,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,9/29/2022
39,39,39,5,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,10/17/2022
40,40,40,2,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,9/17/2022
41,41,41,4,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,1/11/2022
42,42,42,2,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,6/30/2022
43,43,43,4,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,3/23/2022
44,44,44,1,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,11/11/2022
45,45,45,1,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,8/20/2022
46,46,46,5,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,12/20/2022
47,47,47,2,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,3/15/2022
48,48,48,1,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,5/22/2022
49,49,49,4,tempus vivamus in felis eu sapien cursus vestibulum proin eu,1/21/2022
50,50,50,3,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,1/9/2022
51,51,51,3,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,2/20/2022
52,52,52,2,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,4/11/2022
53,53,53,1,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,11/13/2022
54,54,54,5,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,4/10/2022
55,55,55,1,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,7/18/2022
56,56,56,4,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,12/1/2022
57,57,57,1,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,10/17/2022
58,58,58,3,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,5/4/2022
59,59,59,2,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,4/1/2022
60,60,60,5,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,9/5/2022
61,61,61,2,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,6/19/2022
62,62,62,4,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,2/26/2022
63,63,63,3,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,5/20/2022
64,64,64,1,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,10/26/2022
65,65,65,5,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,7/31/2022
66,66,66,4,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,9/9/2022
67,67,67,4,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,7/16/2022
68,68,68,4,amet erat nulla tempus vivamus in felis eu sapien cursus,11/30/2022
69,69,69,4,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,12/26/2022
70,70,70,3,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,10/19/2022
71,71,71,3,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,9/28/2022
72,72,72,5,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,4/3/2022
73,73,73,5,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,6/22/2022
74,74,74,4,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,3/16/2022
75,75,75,1,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,5/10/2022
76,76,76,1,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,3/11/2022
77,77,77,2,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,8/21/2022
78,78,78,1,cursus urna ut tellus nulla ut erat id mauris vulputate,2/1/2022
79,79,79,5,in eleifend quam a odio in hac habitasse platea dictumst,4/8/2022
80,80,80,1,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,8/15/2022
81,81,81,2,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,10/16/2022
82,82,82,2,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,6/12/2022
83,83,83,1,in lectus pellentesque at nulla suspendisse potenti cras in purus eu,10/5/2022
84,84,84,4,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,6/18/2022
85,85,85,3,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,9/13/2022
86,86,86,2,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,3/31/2022
87,87,87,2,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,4/29/2022
88,88,88,3,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,9/23/2022
89,89,89,3,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,1/6/2022
90,90,90,4,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,5/13/2022
91,91,91,1,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,2/6/2022
92,92,92,1,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,9/13/2022
93,93,93,5,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,5/10/2022
94,94,94,4,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel,7/3/2022
95,95,95,1,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,7/30/2022
96,96,96,5,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,8/16/2022
97,97,97,5,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,9/21/2022
98,98,98,1,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,5/16/2022
99,99,99,5,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,7/29/2022
100,100,100,1,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,1/5/2022
